stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
09417791,09417791,Kali Mandir,,28.697149,77.115753,,,0,,,0,,
3fe0341f,3fe0341f,Pushpanjali,,28.695833,77.110718,,,0,,,0,,
5b37ccdf,5b37ccdf,Jaipur Golden Cut,,28.695246,77.108788,,,0,,,0,,
43cd40a5,43cd40a5,Police Line,,28.694429,77.106506,,,0,,,0,,
5b3137e0,5b3137e0,West Enclave,,28.693073,77.101059,,,0,,,0,,
2d4decb7,2d4decb7,Mangolpuri B Block,,28.689205,77.096291,,,0,,,0,,
0e20787f,0e20787f,Pitampura,,28.70318,77.132355,,,0,,,0,,
f7f94ab8,f7f94ab8,Prashant Vihar,,28.707628,77.134201,,,0,,,0,,
a5a8e8ce,a5a8e8ce,Pvr Prashant Vihar,,28.708958,77.1353,,,0,,,0,,
7b08c303,7b08c303,Neo Nest Hospital,,28.710773,77.136803,,,0,,,0,,
3a471118,3a471118,D Block Prashant Vihar,,28.712086,77.137688,,,0,,,0,,
fdeaf122,fdeaf122,Santom Hospital,,28.714048,77.138489,,,0,,,0,,
44003aea,44003aea,Pitampura Bv Block,,28.717003,77.139359,,,0,,,0,,
595fdea4,595fdea4,Vips College,,28.720577,77.140579,,,0,,,0,,
2f4161bb,2f4161bb,Netaji Subash Place,,28.695637,77.152428,,,0,,,0,,
6985fab7,6985fab7,G D Goenka School,,28.700012,77.150818,,,0,,,0,,
fcb47e0b,fcb47e0b,Rbl Bank,,28.70188,77.148537,,,0,,,0,,
bac5e48d,bac5e48d,Gopal Mandir,,28.702514999999998,77.147804,,,0,,,0,,
e3a0e012,e3a0e012,J P Market Pitampura,,28.70307,77.147049,,,0,,,0,,
579a0a44,579a0a44,Aggarwal Sweets,,28.704727,77.145111,,,0,,,0,,
1caf79f6,1caf79f6,City Park Hotel,,28.705595,77.143944,,,0,,,0,,
6fd15bc5,6fd15bc5,Pul Bangash,,28.66571,77.206329,,,0,,,0,,
2f6b3b56,2f6b3b56,Roshnara Road,,28.66901,77.205276,,,0,,,0,,
1d9cc262,1d9cc262,Roshnara Bagh Park,,28.671793,77.200706,,,0,,,0,,
bc3eee0f,bc3eee0f,Guru Ram Das Model School,,28.672852,77.201691,,,0,,,0,,
8e311ef6,8e311ef6,Ghanta Ghar Kamla Nagar,,28.676292,77.202354,,,0,,,0,,
6fd15bc5,6fd15bc5,Pul Bangash,,28.66571,77.206329,,,0,,,0,,
fd3c2d29,fd3c2d29,Azad Market,,28.664591,77.208397,,,0,,,0,,
e49f9368,e49f9368,Hathi Khana,,28.663687,77.207741,,,0,,,0,,
751702da,751702da,Bara Hindu Rao,,28.66242,77.207024,,,0,,,0,,
52a9b246,52a9b246,Pahadi Dhiraj,,28.661154,77.204391,,,0,,,0,,
61bc2328,61bc2328,Deputy Ganj,,28.660999,77.204926,,,0,,,0,,
23e1619b,23e1619b,Baratuti Chowk,,28.659008,77.211411,,,0,,,0,,
23f493c8,23f493c8,Shivaji Park,,28.674965,77.128258,,,0,,,0,,
1213acb3,1213acb3,Bses Office,,28.668612,77.128227,,,0,,,0,,
a2480de8,a2480de8,Cloud Nine Maternity Hospital,,28.66601,77.127602,,,0,,,0,,
3bee75a2,3bee75a2,Club Road Punjabi Bagh,,28.666315,77.124916,,,0,,,0,,
d8a927d3,d8a927d3,The Beer Cafe,,28.666601,77.122421,,,0,,,0,,
dc897bd7,dc897bd7,Skv Madipur,,28.667421,77.114037,,,0,,,0,,
bff43700,bff43700,Emaya Mall,,28.668118,77.112236,,,0,,,0,,
89129a09,89129a09,Pashchim Vihar B1,,28.670877,77.111168,,,0,,,0,,
eb153d73,eb153d73,Jwala Heri Market,,28.668579,77.102379,,,0,,,0,,
4cf6ccf0,4cf6ccf0,Kashmere Gate,,28.667879,77.228012,,,0,,,0,,
6967d831,6967d831,Old Delhi Railway Station,,28.662552,77.233994,,,0,,,0,,
