trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_pickup,continuous_drop_off
trip_26,06:09:29,06:09:29,80ac3aaa,5,,0,0,790.378,1,0,0
trip_26,06:12:47,06:12:47,d96d5218,6,,0,0,1066.495,1,0,0
trip_26,06:15:46,06:15:46,249d42a9,7,,0,0,1315.772,1,0,0
trip_26,06:18:27,06:18:27,4ed21c62,8,,0,0,1537.487,1,0,0
trip_26,06:19:33,06:19:33,a37e3cf0,9,,0,0,1628.559,1,0,0
trip_26,06:20:30,06:20:30,986df976,10,,0,0,1708.179,1,0,0
trip_26,06:21:06,06:21:06,418cab0c,11,,0,0,1758.889,1,0,0
trip_26,06:22:21,06:22:21,f58feca8,12,,0,0,1863.006,1,0,0
trip_27,06:00:00,06:00:00,48a87622,1,,0,0,0.0,1,0,0
trip_27,06:02:41,06:02:41,3d70b714,2,,0,0,275.696,1,0,0
trip_27,06:04:28,06:04:28,fb6d758c,3,,0,0,425.384,1,0,0
trip_27,06:11:14,06:11:14,f8e1edd0,4,,0,0,991.12,1,0,0
trip_27,06:12:51,06:12:51,510aff60,5,,0,0,1125.742,1,0,0
trip_27,06:15:22,06:15:22,12a55a1e,6,,0,0,1377.589,1,0,0
trip_27,06:16:55,06:16:55,cc4c3739,7,,0,0,1507.08,1,0,0
trip_28,06:30:00,06:30:00,1a24717d,1,,0,0,0.0,1,0,0
trip_28,06:32:50,06:32:50,851daaa2,2,,0,0,237.787,1,0,0
trip_28,06:37:16,06:37:16,4b07bffe,3,,0,0,609.782,1,0,0
trip_28,06:38:46,06:38:46,5a8050a1,4,,0,0,730.802,1,0,0
