route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
route_241,,Sector 62 Noida,Flexible e-Rickshaw from Sector 62 Noida,,715,,,,,,
route_59,,Shaheed Sthal-New Bus Adda,Flexible e-Rickshaw from Shaheed Sthal-New Bus Adda,,715,,,,,,
route_160,,Dwarka Sec11,Flexible e-Rickshaw from Dwarka Sec11,,715,,,,,,
route_87,,Trilokpuri,Flexible e-Rickshaw from Trilokpuri,,715,,,,,,
route_159,,Dwarka Sec09,Flexible e-Rickshaw from Dwarka Sec09,,715,,,,,,
route_38,,Moti Nagar,Flexible e-Rickshaw from Moti Nagar,,715,,,,,,
route_157,,Vidhan Sabha,Flexible e-Rickshaw from Vidhan Sabha,,715,,,,,,
route_156,,dwarka sector 10,Flexible e-Rickshaw from dwarka sector 10,,715,,,,,,
route_153,,Vishwa vidalaya,Flexible e-Rickshaw from Vishwa vidalaya,,715,,,,,,
route_183,,Uttam Ngr West,Flexible e-Rickshaw from Uttam Ngr West,,715,,,,,,
route_264,,Jama Masjid,Flexible e-Rickshaw from Jama Masjid,,715,,,,,,
route_5,,Kanhaiya Nagar,Flexible e-Rickshaw from Kanhaiya Nagar,,715,,,,,,
route_151,,Guru Tegh Bahadur Nagar,Flexible e-Rickshaw from Guru Tegh Bahadur Nagar,,715,,,,,,
route_67,,Majlis Park,Flexible e-Rickshaw from Majlis Park,,715,,,,,,
route_129,,Tikri Border,Flexible Gramin-Seva from Tikri Border,,715,,,,,,
route_187,,Uttam Ngr East,Flexible e-Rickshaw from Uttam Ngr East,,715,,,,,,
route_149,,Guru Tegh Bahadur Nagar,Flexible Gramin-Seva from Guru Tegh Bahadur Nagar,,715,,,,,,
route_121,,Tikri Kalan,Flexible Gramin-Seva from Tikri Kalan,,715,,,,,,
route_148,,dwarka sector 21,Flexible e-Rickshaw from dwarka sector 21,,715,,,,,,
route_147,,Guru Tegh Bahadur Nagar,Flexible e-Rickshaw from Guru Tegh Bahadur Nagar,,715,,,,,,
route_146,,Guru Tegh Bahadur Nagar,Flexible e-Rickshaw from Guru Tegh Bahadur Nagar,,715,,,,,,
route_32,,Netaji Subhash Place,Flexible e-Rickshaw from Netaji Subhash Place,,715,,,,,,
route_145,,Guru Tegh Bahadur Nagar,Flexible e-Rickshaw from Guru Tegh Bahadur Nagar,,715,,,,,,
route_144,,Model Town,Flexible e-Rickshaw from Model Town,,715,,,,,,
route_20,,Rithala,Flexible e-Rickshaw from Rithala,,715,,,,,,
route_91,,East Azad Nagar,Flexible e-Rickshaw from East Azad Nagar,,715,,,,,,
route_140,,Adarsh Nagar,Flexible e-Rickshaw from Adarsh Nagar,,715,,,,,,
route_139,,JahangirPuri,Flexible e-Rickshaw from JahangirPuri,,715,,,,,,
route_136,,Haiderpur Badli Mor,Flexible e-Rickshaw from Haiderpur Badli Mor,,715,,,,,,
route_33,,Pul Bangash,Flexible Cycle Rickshaw from Pul Bangash,,715,,,,,,
route_84,,Mayur V Ph1,Flexible Cycle Rickshaw from Mayur V Ph1,,715,,,,,,
route_137,,JahangirPuri,Flexible e-Rickshaw from JahangirPuri,,715,,,,,,
route_196,,Tilak Nagar,Flexible e-Rickshaw from Tilak Nagar,,715,,,,,,
route_61,,Shyam Park,Flexible Auto from Shyam Park,,715,,,,,,
route_135,,Haiderpur Badli Mor,Flexible e-Rickshaw from Haiderpur Badli Mor,,715,,,,,,
route_27,,Rohini East,Flexible e-Rickshaw from Rohini East,,715,,,,,,
route_113,,Nangloi Railway Station,Flexible e-Rickshaw from Nangloi Railway Station,,715,,,,,,
route_133,,Rohini Sector-18-19,Flexible e-Rickshaw from Rohini Sector-18-19,,715,,,,,,
route_128,,pandit shree ram sharma,Flexible Shared Auto from pandit shree ram sharma,,715,,,,,,
route_120,,Tikri Kalan,Flexible Gramin-Seva from Tikri Kalan,,715,,,,,,
route_116,,Mundka,Flexible Gramin-Seva from Mundka,,715,,,,,,
route_2,,Shastri Nagar,Flexible e-Rickshaw from Shastri Nagar,,715,,,,,,
route_150,,Guru Tegh Bahadur Nagar,Flexible Gramin-Seva from Guru Tegh Bahadur Nagar,,715,,,,,,
route_114,,Rajdhani Park,Flexible e-Rickshaw from Rajdhani Park,,715,,,,,,
route_124,,Bahadurgarh City,Flexible e-Rickshaw from Bahadurgarh City,,715,,,,,,
route_112,,Nangloi Railway Station,Flexible e-Rickshaw from Nangloi Railway Station,,715,,,,,,
route_223,,Kaushambi,Flexible Shared Auto from Kaushambi,,715,,,,,,
route_111,,Nangloi,Flexible e-Rickshaw from Nangloi,,715,,,,,,
route_110,,Nangloi Railway Station,Flexible e-Rickshaw from Nangloi Railway Station,,715,,,,,,
route_108,,Udyog Nagar,Flexible Cycle Rickshaw from Udyog Nagar,,715,,,,,,
route_105,,Peera Garhi,Flexible e-Rickshaw from Peera Garhi,,715,,,,,,
route_220,,Laxmi Nagar,Flexible e-Rickshaw from Laxmi Nagar,,715,,,,,,
route_104,,Peera Garhi,Flexible e-Rickshaw from Peera Garhi,,715,,,,,,
route_65,,Govind Puri,Flexible e-Rickshaw from Govind Puri,,715,,,,,,
route_81,,DD South Campus,Flexible Shared Auto from DD South Campus,,715,,,,,,
route_143,,Model Town,Flexible e-Rickshaw from Model Town,,715,,,,,,
route_165,,Dwarka Sec12,Flexible Private e-Rickshaw from Dwarka Sec12,,715,,,,,,
route_103,,Shiv Vihar,Flexible Shared Auto from Shiv Vihar,,715,,,,,,
route_102,,Shiv Vihar,Flexible e-Rickshaw from Shiv Vihar,,715,,,,,,
route_45,,Shastri Park,Flexible e-Rickshaw from Shastri Park,,715,,,,,,
route_51,,Mohan Nagar,Flexible Shared Auto from Mohan Nagar,,715,,,,,,
route_101,,Johari  Enclave,Flexible Shared Auto from Johari  Enclave,,715,,,,,,
route_130,,Tikri Border,Flexible Shared Auto from Tikri Border,,715,,,,,,
route_234,,MG Road,Flexible Gramin-Seva from MG Road,,715,,,,,,
route_125,,Bahadurgarh City,Flexible Shared Auto from Bahadurgarh City,,715,,,,,,
route_100,,Johari  Enclave,Flexible Shared Auto from Johari  Enclave,,715,,,,,,
route_99,,Johari  Enclave,Flexible e-Rickshaw from Johari  Enclave,,715,,,,,,
route_201,,Subhash Nagar,Flexible e-Rickshaw from Subhash Nagar,,715,,,,,,
route_98,,Gokulpuri,Flexible e-Rickshaw from Gokulpuri,,715,,,,,,
route_122,,Brigadier Hoshiyar Singh,Flexible Shared Auto from Brigadier Hoshiyar Singh,,715,,,,,,
route_313,,Sant Surdas Sihi,Flexible Shared Auto from Sant Surdas Sihi,,715,,,,,,
route_115,,Rajdhani Park,Flexible e-Rickshaw from Rajdhani Park,,715,,,,,,
route_276,,Delhi Cantt,Flexible e-Rickshaw from Delhi Cantt,,715,,,,,,
route_97,,Maujpur,Flexible e-Rickshaw from Maujpur,,715,,,,,,
route_118,,Mundka IA,Flexible Gramin-Seva from Mundka IA,,715,,,,,,
route_96,,Maujpur,Flexible Cycle Rickshaw from Maujpur,,715,,,,,,
route_54,,Jhilmil,Flexible e-Rickshaw from Jhilmil,,715,,,,,,
route_188,,Janak Puri West,Flexible e-Rickshaw from Janak Puri West,,715,,,,,,
route_0,,Govind Puri,Flexible Cycle Rickshaw from Govind Puri,,715,,,,,,
route_253,,Sector 53-54,Flexible Gramin-Seva from Sector 53-54,,715,,,,,,
route_95,,Jaffarabad,Flexible Cycle Rickshaw from Jaffarabad,,715,,,,,,
route_94,,Jaffarabad,Flexible e-Rickshaw from Jaffarabad,,715,,,,,,
route_19,,Rithala,Flexible e-Rickshaw from Rithala,,715,,,,,,
route_18,,Keshav Puram,Flexible e-Rickshaw from Keshav Puram,,715,,,,,,
route_64,,Paschim V East,Flexible e-Rickshaw from Paschim V East,,715,,,,,,
route_178,,Nawada,Flexible e-Rickshaw from Nawada,,715,,,,,,
route_93,,Welcome,Flexible e-Rickshaw from Welcome,,715,,,,,,
route_272,,Dashrathpuri,Flexible e-Rickshaw from Dashrathpuri,,715,,,,,,
route_166,,Kashmere Gate Metro,Flexible Shared Auto from Kashmere Gate Metro,,715,,,,,,
route_86,,Mayur VPkt1,Flexible Cycle Rickshaw from Mayur VPkt1,,715,,,,,,
route_152,,Dwarka Sec08,Flexible e-Rickshaw from Dwarka Sec08,,715,,,,,,
route_74,,Shakurpur,Flexible e-Rickshaw from Shakurpur,,715,,,,,,
route_53,,Jhilmil,Flexible e-Rickshaw from Jhilmil,,715,,,,,,
route_88,,East Vinod Nagar,Flexible Cycle Rickshaw from East Vinod Nagar,,715,,,,,,
route_142,,Model Town,Flexible e-Rickshaw from Model Town,,715,,,,,,
route_85,,Mayur VPkt1,Flexible Cycle Rickshaw from Mayur VPkt1,,715,,,,,,
route_256,,Sector 52 Noida,Flexible Shared Auto from Sector 52 Noida,,715,,,,,,
route_83,,Mayur V Ph1,Flexible e-Rickshaw from Mayur V Ph1,,715,,,,,,
route_76,,Mayapuri,Flexible e-Rickshaw from Mayapuri,,715,,,,,,
route_71,,Shalimar Bagh,Flexible Cycle Rickshaw from Shalimar Bagh,,715,,,,,,
route_69,,Azadpur,Flexible Cycle Rickshaw from Azadpur,,715,,,,,,
route_68,,Azadpur,Flexible e-Rickshaw from Azadpur,,715,,,,,,
route_228,,Noida Sec18,Flexible e-Rickshaw from Noida Sec18,,715,,,,,,
