trip_id,start_time,end_time,headway_secs,exact_times
trip_46,06:30:00,22:30:00,300,0
trip_47,06:00:00,22:30:00,300,0
trip_48,06:30:00,22:00:00,300,0
trip_49,06:30:00,22:00:00,300,0
trip_50,06:00:00,22:30:00,300,0
trip_51,06:00:00,22:30:00,300,0
trip_52,06:30:00,22:30:00,300,0
trip_53,06:30:00,22:30:00,300,0
trip_54,06:00:00,22:00:00,300,0
trip_55,07:00:00,22:00:00,300,0
trip_56,06:00:00,22:30:00,300,0
trip_57,06:00:00,22:30:00,300,0
trip_58,06:00:00,22:30:00,300,0
trip_59,06:00:00,22:30:00,300,0
trip_60,06:00:00,22:30:00,300,0
trip_61,06:00:00,22:30:00,300,0
trip_62,06:30:00,22:00:00,300,0
trip_63,06:30:00,22:00:00,300,0
trip_64,07:00:00,22:00:00,600,0
trip_65,08:00:00,18:00:00,300,0
trip_66,07:00:00,17:00:00,300,0
trip_67,07:00:00,18:00:00,300,0
trip_68,07:00:00,20:00:00,300,0
trip_69,07:00:00,19:00:00,300,0
trip_70,07:00:00,19:00:00,300,0
trip_71,07:00:00,19:00:00,300,0
trip_72,07:00:00,18:00:00,300,0
trip_73,07:00:00,19:00:00,300,0
trip_74,07:00:00,19:00:00,300,0
trip_75,08:00:00,19:00:00,300,0
trip_76,08:00:00,18:00:00,300,0
trip_77,08:00:00,18:00:00,300,0
trip_78,07:00:00,18:00:00,300,0
trip_79,07:00:00,18:00:00,300,0
trip_80,08:00:00,18:00:00,300,0
trip_81,07:00:00,19:00:00,300,0
trip_82,08:00:00,19:00:00,300,0
trip_83,08:00:00,18:00:00,300,0
trip_84,08:00:00,18:00:00,300,0
trip_85,08:00:00,18:00:00,300,0
trip_86,08:00:00,18:00:00,300,0
trip_87,08:00:00,18:00:00,300,0
trip_88,07:00:00,19:00:00,300,0
trip_89,08:00:00,18:00:00,300,0
trip_90,08:00:00,18:00:00,300,0
trip_91,08:00:00,18:00:00,300,0
trip_92,07:00:00,18:00:00,300,0
trip_93,08:00:00,18:00:00,300,0
trip_94,07:00:00,19:00:00,300,0
trip_95,07:00:00,19:00:00,300,0
trip_96,07:00:00,19:00:00,300,0
trip_97,07:00:00,19:00:00,300,0
trip_98,07:00:00,19:00:00,300,0
trip_99,07:00:00,19:00:00,300,0
trip_100,08:00:00,20:00:00,300,0
trip_101,08:00:00,19:00:00,300,0
trip_102,08:00:00,19:00:00,300,0
trip_103,08:00:00,20:00:00,300,0
trip_104,07:00:00,19:00:00,300,0
trip_105,07:00:00,19:00:00,300,0
trip_106,07:30:00,19:00:00,300,0
trip_107,08:00:00,19:00:00,300,0
trip_108,08:00:00,19:00:00,300,0
trip_109,08:00:00,19:00:00,300,0
trip_110,07:30:00,19:00:00,300,0
trip_111,07:00:00,20:00:00,300,0
trip_112,08:00:00,19:00:00,300,0
trip_113,07:00:00,19:00:00,300,0
trip_114,07:00:00,19:00:00,300,0
trip_115,07:00:00,19:00:00,300,0
trip_116,07:00:00,19:00:00,300,0
trip_117,07:00:00,19:00:00,300,0
trip_118,07:00:00,19:00:00,300,0
trip_119,07:00:00,19:00:00,300,0
trip_120,07:00:00,19:00:00,300,0
trip_121,07:00:00,19:00:00,300,0
trip_122,07:00:00,19:00:00,300,0
trip_123,07:00:00,19:30:00,300,0
trip_124,07:00:00,19:00:00,300,0
trip_125,07:00:00,19:00:00,300,0
trip_126,07:00:00,19:00:00,300,0
trip_127,07:00:00,19:00:00,300,0
trip_128,07:00:00,19:00:00,300,0
trip_129,07:00:00,19:00:00,300,0
trip_130,07:00:00,19:00:00,300,0
trip_131,07:00:00,19:00:00,300,0
trip_132,07:00:00,19:00:00,300,0
trip_133,08:00:00,19:00:00,300,0
trip_134,07:00:00,19:00:00,300,0
trip_135,07:00:00,19:00:00,300,0
trip_136,07:00:00,19:00:00,300,0
trip_137,07:00:00,19:00:00,300,0
trip_138,07:00:00,19:00:00,300,0
trip_139,07:00:00,19:30:00,300,0
trip_140,07:00:00,19:30:00,300,0
