shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_715_10,28.60726,77.141708,4,197.915
shp_715_10,28.606808,77.14225,5,271.247
shp_715_10,28.606436,77.142853,6,342.77
shp_715_10,28.606104,77.143677,7,431.592
shp_715_10,28.606003,77.143776,8,446.296
shp_715_10,28.605904,77.144012,9,471.947
shp_715_10,28.605846,77.144264,10,497.566
shp_715_10,28.605762,77.144814,11,552.451
shp_715_10,28.605743,77.144882,12,559.364
shp_715_10,28.605713,77.144928,13,564.754
shp_715_10,28.605675,77.144951,14,569.34
shp_715_10,28.605639,77.144943,15,573.497
shp_715_10,28.605583,77.14492,16,580.05
shp_715_10,28.605564,77.144882,17,584.554
shp_715_10,28.605564,77.144821,18,590.018
shp_715_10,28.605593,77.144691,19,603.123
shp_715_10,28.605738,77.144226,20,651.627
shp_715_10,28.605806,77.144035,21,672.1
shp_715_10,28.60589,77.143631,22,712.362
shp_715_10,28.60652,77.14241,23,850.785
shp_715_10,28.606993,77.141777,24,932.052
shp_715_10,28.607489,77.141266,25,1006.781
shp_715_10,28.607519,77.141068,26,1026.195
shp_715_10,28.607521,77.141006,27,1031.991
shp_715_10,28.60751,77.140953,28,1037.439
shp_715_10,28.607393,77.140785,29,1058.37
shp_715_10,28.607372,77.14077,30,1060.864
shp_715_10,28.607372,77.14077,31,1060.864
shp_715_10,28.607176,77.140656,32,1085.411
shp_715_10,28.607038,77.140503,33,1107.299
shp_715_10,28.606985,77.14035,34,1122.752
shp_715_10,28.606979,77.14032,35,1126.321
shp_715_10,28.606979,77.14032,36,1126.321
shp_715_10,28.606964,77.140213,37,1136.46
shp_715_10,28.606947,77.1399,38,1167.663
shp_715_10,28.606936,77.13945,39,1211.045
shp_715_10,28.606958,77.139282,40,1227.735
shp_715_10,28.607031,77.139,41,1256.53
shp_715_10,28.607231,77.138359,42,1322.861
shp_715_10,28.607231,77.138359,43,1322.861
shp_715_10,28.607395,77.13784,44,1377.157
shp_715_10,28.607407,77.137733,45,1387.587
shp_715_10,28.607374,77.137619,46,1399.157
shp_715_10,28.607309,77.137482,47,1414.62
shp_715_10,28.607279,77.137444,48,1419.653
shp_715_10,28.607256,77.137398,49,1424.7
shp_715_10,28.607197,77.137344,50,1433.256
shp_715_10,28.607197,77.137344,51,1433.256
shp_715_10,28.607023,77.137192,52,1457.463
shp_715_10,28.605642,77.136513,53,1624.876
shp_715_10,28.605642,77.136513,54,1624.876
shp_715_10,28.603058,77.135239,55,1938.478
shp_715_10,28.60243,77.134918,56,2015.238
shp_715_10,28.60243,77.134918,57,2015.238
shp_715_10,28.601803,77.13459,58,2091.766
shp_715_10,28.601803,77.13459,59,2091.766
shp_715_10,28.601025,77.134186,60,2186.937
shp_715_10,28.60029,77.13382,61,2276.385
shp_715_10,28.60029,77.13382,62,2276.385
shp_715_10,28.599356,77.133354,63,2390.067
shp_715_10,28.599356,77.133354,64,2390.067
shp_715_10,28.59734,77.132339,65,2635.251
